      prcdpro       |                 prdescr                  | praltez | prlargh | prlungh | prflgpp 
 81153826           | BALANCE SCALP ENERGY SERUM 100 ML        |     165 |      60 |     160 |       1
 81153874           | SHINE LEAVE-IN CONDITIONER 125 ML        |     165 |      77 |     150 |       1
 81153849           | COLOR SAVE FINISH 125 ML                 |     166 |      77 |     149 |       1
 81153768           | WEIGHTLESS FINISH 125 ML                 |     166 |      77 |     149 |       1
 81153787           | CLEAR SCALP LEAVE-IN CONDITIONER 125 ML  |     166 |      77 |     149 |       1
 81153812           | SP Balance Scalp Lotion 125ml            |     166 |      77 |     149 |       1
 81190779           | AFTER SUN MOISTURIZING FLUID 125 ML      |     166 |      77 |     149 |       1
 81274125           | Niox System 1 Scalp Therapy 1000ml       |     170 |      90 |      90 |       1
 81243597           | Hair & Scalp Protect Lotion 125ml        |     170 |     150 |      80 |       1
 81311327           | SP MEN REFRESH TON 125 I,GB,SCAN,E,P     |     170 |     150 |      80 |       1
 81190834           | SUN UV PROTECTION SPRAY 125 ML           |     170 |     150 |      80 |       1
 81311330           | SP MEN SENSITIVE TON 125 I,GB,SCAN,E,P   |     170 |     150 |      90 |       1
 81127144           | SEB STYLIXIR 150ML                       |     170 |      55 |      55 |       1
 81127201           | SEB TAMING ELIXIR 140ML                  |     173 |      43 |      43 |       1
 81127156           | SEB LIQUID STEEL STYLER 150ML            |     177 |      44 |      44 |       1
 81127153           | SEB GEL FORTE 200ML                      |     178 |      75 |      75 |       1
 81127173           | SEB POTION 9 150 ML                      |     178 |      47 |      47 |       1
 81274158           | Niox System 3 Scalp Treatment 100ml      |     180 |      50 |      40 |       1
 81274145           | Niox System 2 Scalp Treatment 100ml      |     180 |      50 |      40 |       1
 81274170           | Niox System 4 Scalp Treatment 100ml      |     180 |      50 |      40 |       1
 81274193           | Niox System 6 Scalp Treatment 100ml      |     180 |      50 |      40 |       1
 81274197           | Niox Trial Kit System 1                  |     180 |     110 |      60 |       1
 81274200           | Niox Trial Kit System 2                  |     180 |     110 |      60 |       1
 81274203           | Niox Trial Kit System 3                  |     180 |     110 |      60 |       1
 81274206           | Niox Trial Kit System 4                  |     180 |     110 |      60 |       1
 81274209           | Niox Trial Kit System 5                  |     180 |     110 |      60 |       1
 81274212           | Niox Trial Kit System 6                  |     180 |     110 |      60 |       1
 81211840           | SEB-250ML VOLUPT CONDITIONER..... ...... |     200 |      58 |      58 |       1
