  ordprog   | cpnmcol | cpstato | cpprgcl | cpdteva  
 3017203322 |       3 | H       | 1000044 | 20200109
 3017222865 |       1 | H       | 1000044 | 20200110
 3017222865 |       2 | H       | 1000045 | 20200110
 3017203323 |       1 | H       | 1000045 | 20200109
 3017222869 |       1 | H       | 1000046 | 20200110
 3017203324 |       1 | H       | 1000046 | 20200109
 3017203324 |       2 | H       | 1000047 | 20200109
 3017222872 |       1 | H       | 1000047 | 20200110
 3017203324 |       1 | H       | 1000048 | 20200109
 3017222876 |       1 | H       | 1000048 | 20200110
 3017203325 |       1 | H       | 1000049 | 20200109
 3017222876 |       2 | H       | 1000049 | 20200110
 3017222876 |       3 | H       | 1000050 | 20200110
 3017203325 |       1 | H       | 1000050 | 20200109
 3017203326 |       1 | H       | 1000051 | 20200109
 3017222876 |       1 | H       | 1000051 | 20200110
 3017203326 |       2 | H       | 1000052 | 20200109
 3017222890 |       1 | H       | 1000052 | 20200110
 3017203326 |       1 | H       | 1000053 | 20200109
 3017222890 |       2 | H       | 1000053 | 20200110
 3017222890 |       3 | H       | 1000054 | 20200110
 3017203326 |       2 | H       | 1000054 | 20200109
 3017203327 |       1 | H       | 1000055 | 20200109
 3017222890 |       4 | H       | 1000055 | 20200110
 3017222890 |       1 | H       | 1000056 | 20200110
 3017203327 |       2 | H       | 1000056 | 20200109
 3017222897 |       1 | H       | 1000057 | 20200110
 3017203327 |       1 | H       | 1000057 | 20200109
 3017203328 |       1 | H       | 1000058 | 20200109
 3017222897 |       2 | H       | 1000058 | 20200110
 3017222901 |       1 | H       | 1000059 | 20200110
 3017203328 |       2 | H       | 1000059 | 20200109
 3017222901 |       2 | H       | 1000060 | 20200110
 3017203328 |       1 | H       | 1000060 | 20200109
 3017222901 |       1 | H       | 1000061 | 20200110
 3017203329 |       1 | H       | 1000061 | 20200109
 3017222904 |       1 | H       | 1000062 | 20200110
 3017203329 |       2 | H       | 1000062 | 20200109
 3017222904 |       2 | H       | 1000063 | 20200110
 3017203331 |       1 | H       | 1000063 | 20200109
 3017203331 |       2 | H       | 1000064 | 20200109
 3017222904 |       1 | H       | 1000064 | 20200110
 3017222907 |       1 | H       | 1000065 | 20200110
 3017203331 |       3 | H       | 1000065 | 20200109
 3017203331 |       4 | H       | 1000066 | 20200109
 3017222920 |       1 | H       | 1000066 | 20200110
 3017222921 |       1 | H       | 1000067 | 20200110
 3017203331 |       1 | H       | 1000067 | 20200109
 3017222921 |       2 | H       | 1000068 | 20200110
 3017203332 |       1 | H       | 1000068 | 20200109
 3017222921 |       3 | H       | 1000069 | 20200110
 3017203333 |       1 | H       | 1000069 | 20200109
 3017203333 |       1 | H       | 1000070 | 20200109
 3017222921 |       1 | H       | 1000070 | 20200110
 3017222922 |       1 | H       | 1000071 | 20200110
 3017203333 |       2 | H       | 1000071 | 20200109
 3017222922 |       1 | H       | 1000072 | 20200110
 3017203334 |       1 | H       | 1000072 | 20200109
 3017222923 |       1 | H       | 1000073 | 20200110
 3017203334 |       2 | H       | 1000073 | 20200109
 3017222924 |       1 | H       | 1000074 | 20200110
 3017203334 |       1 | H       | 1000074 | 20200109
 3017203336 |       1 | H       | 1000075 | 20200109
 3017222925 |       1 | H       | 1000075 | 20200110
 3017222925 |       1 | H       | 1000076 | 20200110
 3017203336 |       2 | H       | 1000076 | 20200109
 3017222926 |       1 | H       | 1000077 | 20200110
 3017203336 |       1 | H       | 1000077 | 20200109
 3017203337 |       1 | H       | 1000078 | 20200109
 3017222927 |       1 | H       | 1000078 | 20200110
 3017222928 |       1 | H       | 1000079 | 20200110
 3017203338 |       1 | H       | 1000079 | 20200109
 3017203338 |       2 | H       | 1000080 | 20200109
 3017222928 |       1 | H       | 1000080 | 20200110
 3017203338 |       1 | H       | 1000081 | 20200109
 3017222929 |       1 | H       | 1000081 | 20200110
 3017222929 |       2 | H       | 1000082 | 20200110
 3017203339 |       1 | H       | 1000082 | 20200109
 3017222929 |       1 | H       | 1000083 | 20200110
 3017203339 |       1 | H       | 1000083 | 20200109
 3017222930 |       1 | H       | 1000084 | 20200110
 3017203340 |       1 | H       | 1000084 | 20200109
 3017203340 |       2 | H       | 1000085 | 20200109
 3017222930 |       2 | H       | 1000085 | 20200110
 3017203340 |       3 | H       | 1000086 | 20200109
 3017222930 |       3 | H       | 1000086 | 20200110
 3017222930 |       1 | H       | 1000087 | 20200110
 3017203340 |       1 | H       | 1000087 | 20200109
 3017203340 |       2 | H       | 1000088 | 20200109
 3017222930 |       2 | H       | 1000088 | 20200110
 3017203340 |       3 | H       | 1000089 | 20200109
 3017222931 |       1 | H       | 1000089 | 20200110
 3017222931 |       2 | H       | 1000090 | 20200110
 3017203340 |       4 | H       | 1000090 | 20200109
 3017203341 |       1 | H       | 1000091 | 20200109
 3017222932 |       1 | H       | 1000091 | 20200110
 3017203341 |       2 | H       | 1000092 | 20200109
 3017222932 |       1 | H       | 1000092 | 20200110
 3017203341 |       3 | H       | 1000093 | 20200109
 3017222932 |       2 | H       | 1000093 | 20200110
 3017203341 |       1 | H       | 1000094 | 20200109
 3017222934 |       1 | H       | 1000094 | 20200110
 3017222934 |       2 | H       | 1000095 | 20200110
 3017203341 |       2 | H       | 1000095 | 20200109
 3017203341 |       3 | H       | 1000096 | 20200109
 3017222934 |       1 | H       | 1000096 | 20200110
 3017222935 |       1 | H       | 1000097 | 20200110
 3017203342 |       1 | H       | 1000097 | 20200109
 3017203343 |       1 | H       | 1000098 | 20200109
 3017222936 |       1 | H       | 1000098 | 20200110
