      prcdpro       |                 prdescr                  | prqtkar 
 99240010311        | NioxTrlKit_Sys4_150+150+40_GBDFINLESPT   |      12
 99240012196        | SEBASTIAN_liquid steel 150ml             |      12
 99240012662        | SEBASTIAN_twisted curl cream 145ml       |      12
 99240013392        | SEB CELLO RG ATB CARAMEL BRWN 300ml 18EU |      12
 99240010929        | SYSTEM_repair mask 400ml                 |       6
 99240010945        | SYSTEM_smoothen mask 400ml               |       6
 81630655           | NIOX_SYS1_CN 1000ML MULTILANG            |      12
 99240008914        | SEBMAN_the fixer spray 200ml             |       6
 81630623           | NIOX_SYS4_SH 300ML                       |      12
 81630624           | NIOX_SYS5_SH 300ML                       |      12
 81630625           | NIOX_SYS6_SH 300ML                       |      12
 81630637           | NIOX_SYS2_SH 1000ML MULTILANG            |      12
 81630657           | NIOX_SYS2_CN 1000ML MULTILANG            |      12
 81630659           | NIOX_SYS4_CN 1000ML MULTILANG            |      12
 81630661           | NIOX_SYS6_CN 1000ML MULTILANG            |      12
 81630666           | NIOX_SYS2_SCALPTRTMT 100ML               |      12
 99240010971        | SYSTEM_volumize mask 400ml               |       6
 81630621           | NIOX_SYS2_SH 300ML                       |      12
 99240011818        | SP_styling perfect hold 50ml             |      12
 99240012064        | WP BRILLIANCE MASK COARSE 500ML          |       6
 99240012066        | WP BRILLIANCE MASK FINE 500ML            |       6
 99240012185        | SEBASTIAN_shine shaker 75ml              |      12
 99240012861        | SYSTEM_color save cond 1000ml            |       6
 99240012862        | SYSTEM_hydrate conditioner 1000ml        |       6
 99240012878        | SYSTEM LUXE KERA COND 1000ML MULTILANG   |       6
 99240014312        | NIOX OPT SYS3 RG OTC DENS MASK KIT 18 IT |       6
 99240013379        | SEBASTIAN_drynamic 212ml                 |      12
 99240013395        | SEBASTIAN_cellophanes clear 300ml        |      12
 99240013732        | NIOX PRO THIK RG GEL 140ml DFINLGR 18WE  |      12
 99240014025        | SEBASTIAN_shine define 200ml             |      12
 99240014032        | SEBASTIAN_potion 9 150ml                 |      12
 99240014037        | SEBASTIAN_potion 9 50ml                  |      12
 99240014044        | SEBASTIAN_craft clay 50ml                |      12
 99240014062        | SEBASTIAN_hydre conditioner 250ml        |      12
 99240014071        | SEBASTIAN_hydre treatment 150ml          |      12
 99240014074        | SEBASTIAN_penetraitt conditioner 250ml   |      12
 99240016215        | WP COLORMOTION POST COL TREAT 500ML      |       6
 81630900           | NXN_DeepProtectMasq 150ml DFINLESPT      |      12
 99240012863        | SYSTEM_repair conditioner 1000ml         |       6
 99240014090        | SEBASTIAN_trilliance conditioner 250ml   |      12
 99240014041        | SEBASTIAN_potion 9 lite 150ml            |      12
 81650143           | WP BRILLIANCE BOOSTER 100ML              |      12
 99240014018        | SEBASTIAN_gel forte 200ml                |      12
 99240014139        | SEBASTIAN_penetraitt shampoo 250ml       |      12
 81650158           | WP NUTRI BOOSTER 100ML                   |      12
 81650165           | WP VOLUME BOOSTER 100ML                  |      12
 81620360           | WP CREA+ STRAIGHT N/R BASE 200ML WE      |       6
 81643561           | BLONDOR BL SL CR 500ML DE.FR.IT.NL.ES.PT |       6
 99240008447        | SEBASTIAN_volupt shampoo 250ml           |      12
 81643207           | SEBASTIAN_eruptek 75ml                   |      12
 81599204           | SYSTEM_color save infusion 20x5ml        |       6
 99240010909        | SYSTEM_hydrate mask 400ml                |       6
 99240010911        | SYSTEM_hydrate shampoo 250ml             |       6
 99240011584        | SYSTEM_hydrate emulsion 50ml             |      12
 81654212           | SEBASTIAN_reset shampoo 1000ml           |       6
 99240012035        | WP EIMI OIL SPRITZ 95ml                  |      12
 99240012008        | WP EIMI COCKTAIL ME 95ml                 |      12
 99240012170        | WP ELEMENTS MASK 500ml.                  |       6
 99240014016        | SEBASTIAN_texturizer 150ml               |      12
 99240014067        | SEBASTIAN_hydre conditioner 1000ml       |      12
 99240014111        | SEBASTIAN_hydre shampoo 1000ml           |      12
 99240014145        | SEBASTIAN_penetraitt shampoo 1000ml      |      12
 99240014151        | SEBASTIAN_trilliance shampoo 250ml       |      12
 99240014414        | SEBMAN_the multitasker shampoo 1000ml    |       6
 99240014415        | SEBMAN_the smoother conditioner 1000ml   |       6
 99240015892        | WP COLORMOTION  MASK 500ML               |       6
 99240012864        | SYSTEM_smoothen conditioner 1000ml       |       6
 99240013406        | SEBASTIAN_trilliant 150ml                |      12
 99350034448        | SP D COL RG SAVESHAMP250ml MULTLANG 19TR |       6
 81630927           | NXN_Diaboost_Treat 200ml DFINLESPT       |       6
 99350048837        | System_shopper 20pz                      |       6
 81643179           | SSP BALANCE ENERGY SERUM 100ML GBFDINLGR |       3
(164 righe)

