  materiale  | ubicazione | ubicazione_mappa | ubicazione_mappa 
 99350104463 | 124-052    | 1042052          | 1.04.2.05.2
 99350104463 | 124-052    | 1042052          | 1.04.2.05.2
 99350104463 | 124-052    | 1042052          | 1.04.2.05.2
 99350104515 | 224-012    | 2042012          | 2.04.2.01.2
 99350104515 | 224-012    | 2042012          | 2.04.2.01.2
 99350104558 | 216-163    | 2061163          | 2.06.1.16.3
 99350104558 | 216-163    | 2061163          | 2.06.1.16.3
 99350104733 | 214-142    | 2041142          | 2.04.1.14.2
 99350104741 | 213-051    | 2031051          | 2.03.1.05.1
 99350104741 | 213-051    | 2031051          | 2.03.1.05.1
 99350104746 | 216-071    | 2061071          | 2.06.1.07.1
 99350104748 | 215-032    | 2051054          | 2.05.1.05.4
 99350104748 | 215-032    | 2051054          | 2.05.1.05.4
 99350104748 | 215-032    | 2051054          | 2.05.1.05.4
 99350104749 | 216-052    | 2061052          | 2.06.1.05.2
 99350104749 | 216-052    | 2061052          | 2.06.1.05.2
 99350104749 | 216-052    | 2061052          | 2.06.1.05.2
 99350104750 | 213-033    | 2031033          | 2.03.1.03.3
 99350104750 | 213-033    | 2031033          | 2.03.1.03.3
 99350104752 | 213-112    | 2031112          | 2.03.1.11.2
 99350104752 | 213-112    | 2031112          | 2.03.1.11.2
 99350104753 | 124-073    | 1042073          | 1.04.2.07.3
 99350104754 | 213-093    | 2031124          | 2.03.1.12.4
 99350104754 | 213-093    | 2031124          | 2.03.1.12.4
 99350104754 | 213-093    | 2031124          | 2.03.1.12.4
 99350104755 | 216-174    | 2061174          | 2.06.1.17.4
 99350104757 | 215-113    | 2051113          | 2.05.1.11.3
 99350104758 | 213-151    | 2031151          | 2.03.1.15.1
 99350104758 | 213-151    | 2031151          | 2.03.1.15.1
 99350104764 | 213-154    | 2031154          | 2.03.1.15.4
 99350104766 | 213-131    | 2031131          | 2.03.1.13.1
 99350104768 | 216-082    | 2061082          | 2.06.1.08.2
 99350104769 | 216-074    | 2061074          | 2.06.1.07.4
 99350104769 | 216-074    | 2061074          | 2.06.1.07.4
 99350104771 | 215-111    | 2051111          | 2.05.1.11.1
 99350104774 | 124-031    | 1042031          | 1.04.2.03.1
 99350104774 | 124-031    | 1042031          | 1.04.2.03.1
 99350104777 | 216-081    | 2061081          | 2.06.1.08.1
 99350104779 | 215-064    | 2051082          | 2.05.1.08.2
 99350104780 | 218-112    | 2081114          | 2.08.1.11.4
 99350104782 | 213-152    | 2031152          | 2.03.1.15.2
 99350104784 | 224-051    | 2042051          | 2.04.2.05.1
 99350104784 | 224-051    | 2042051          | 2.04.2.05.1
 99350104785 | 214-161    | 2041161          | 2.04.1.16.1
 99350104785 | 214-161    | 2041161          | 2.04.1.16.1
 99350104788 | 212-062    | 2021064          | 2.02.1.06.4
 99350104788 | 212-062    | 2021064          | 2.02.1.06.4
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104789 | 216-101    | 2061101          | 2.06.1.10.1
 99350104790 | 216-112    | 2061112          | 2.06.1.11.2
 99350104793 | 213-132    | 2031132          | 2.03.1.13.2
 99350104793 | 213-132    | 2031132          | 2.03.1.13.2
 99350104802 | 217-023    | 2071023          | 2.07.1.02.3
 99350104803 | 212-061    | 2021061          | 2.02.1.06.1
 99350104977 | 124-051    | 1042051          | 1.04.2.05.1
 99350104979 | 112-112    | 1021112          | 1.02.1.11.2
 99350104979 | 112-112    | 1021112          | 1.02.1.11.2
 99350104979 | 112-112    | 1021112          | 1.02.1.11.2
 99350104979 | 112-112    | 1021112          | 1.02.1.11.2
 99350105220 | 214-072    | 2041072          | 2.04.1.07.2
 99350105226 | 114-152    | 1041154          | 1.04.1.15.4
 99350105243 | 117-041    | 1071041          | 1.07.1.04.1
 99350105244 | 115-161    | 1051161          | 1.05.1.16.1
