      prcdpro       |                 prdescr                  | prlungh | prlargh | praltez | prpesgr | prflgpp 
 81387897           | SEB 500ML POTION9 STY TREAT DE,FR,NL,IT  |      70 |      70 |     210 |     563 |       1
 81330567           | SEB HYDRE SHAMPOO 1000ML 2011            |      85 |      85 |     265 |    1111 |       1
 81643302           | WP ELEMENTS CONDITIONER 200ML            |     170 |     120 |     200 |    1452 |       1
 81643590           | COLOR FRESH_ACID_0/89_75ML               |      50 |      50 |     140 |     105 |       1
 81385600           | Niox Sys1 Cleanser 300ml D.F.I.NL.E.P ne |      60 |      60 |     220 |     363 |       1
 81537233           | NIOX SYS3 CLEANSER 1000ML MULTILANG      |      90 |      90 |     270 |    1123 |       1
 81557419           | WP OIL REFLECTIONS LIGHT 30ML            |      80 |     110 |     130 |     409 |       1
 81587944           | SP LUXE OIL BOOSTE ESSENCE 100ML IEP     |      90 |     130 |     180 |     950 |       1
 81471546           | SP 150ML PERFECT HAIR 150ml              |     150 |     110 |     190 |    1310 |       1
 81385614           | NIOX SYS3 CLEANSER 300ML D F I NL E P NE |      60 |      60 |     220 |     355 |       1
 81385625           | NIOX SYS4 SCALP REVIT 300ML D F I NL E P |      60 |      60 |     220 |     349 |       1
 81385597           | Niox Sys1 Cleanser 1000ml MULTILANG new  |      90 |      90 |     270 |    1115 |       1
 81385605           | Niox Sys2 Cleanser 1000ml MULTILANG new  |      90 |      90 |     270 |    1113 |       1
 81385602           | Niox Sys1 Scalp Revit 1000ml MULTILANG n |      90 |      90 |     170 |    1070 |       1
 81385603           | Niox Sys1 Scalp Revit 300ml D,F,I,NL,E,P |      60 |      60 |     220 |     343 |       1
 81385611           | Niox Sys2 Scalp Revit 300ml D,F,I,NL,E,P |      60 |      60 |     220 |     342 |       1
 81385613           | Niox Sys3 Cleanser 1000ml MULTILANG new  |      90 |      90 |     270 |    1123 |       1
 81385616           | Niox Sys3 Scalp Revit 1000ml MULTILANG n |      90 |      90 |     270 |    1074 |       1
 81385617           | Niox Sys3 Scalp Revit 300ml D,F,I,NL,E,P |      60 |      60 |     220 |     344 |       1
 81385620           | Niox Sys4 Cleanser 1000ml MULTILANG new  |      90 |      90 |     270 |    1125 |       1
 81385621           | Niox Sys4 Cleanser 300ml D,F,I,NL,E,P ne |      60 |      60 |     220 |     353 |       1
 81385623           | Niox Sys4 Scalp Revit 1000ml MULTILANG n |      90 |      90 |     270 |    1073 |       1
 81385629           | Niox Trialkit Sys1 150+150+50DE,FR,IT,NL |      60 |     110 |     180 |     460 |       1
 81385635           | NIOX TRIALKIT SYS3 150+150+50DE,FR,IT,NL |      60 |     110 |     180 |     460 |       1
 81387888           | SEB 150ML POTION9 LITE STY DE.FR.NL.IT   |      60 |      60 |     180 |     175 |       1
 81537226           | NIOX SYS2 CLEANSER 1000ML MULTILANG      |      90 |      70 |     270 |    1116 |       1
 81586583           | WELLOXON PERFECT 1000ML 6%               |      94 |      94 |     275 |    1102 |       1
 81387070           | CT PLUS 88/07 60ML_IT                    |      30 |     115 |     150 |     247 |       1
 81386766           | HYDRATE CONDITIONER 1000 ML              |      96 |      77 |     207 |    1050 |       1
 81387064           | CT PLUS 55/07 60ML_IT                    |      30 |     115 |     150 |     247 |       1
 81387066           | CT PLUS 66/07 60ML_IT                    |      30 |     115 |     150 |     247 |       1
 81387068           | CT PLUS 77/07 60ML_IT                    |      30 |     115 |     150 |     247 |       1
 81387073           | CT PLUS 55/04 60ML_IT                    |      30 |     115 |     150 |     247 |       1
 81387076           | CT PLUS 66/04 60ML_IT                    |      30 |     115 |     150 |     240 |       1
 81387843           | NIOXIN SYSTEM 3 SCALP TREATMENT          |      40 |      50 |     180 |     139 |       1
 81311781           | SEB SHINE CRAFTER WAX 50ML               |      60 |      60 |      60 |      94 |       1
 81311323           | SP MEN EVERY DAY HOLD 100 I GB SCAN E P  |     110 |     140 |     190 |     898 |       1
 81311768           | SEB TRILLIANCE SHAMPOO 1000ML            |      80 |      80 |     260 |    1068 |       1
 81538076           | SP MEN EVERY DAY HOLD 100 D F I NL       |     145 |     100 |     185 |     899 |       1
 81539934           | SEB COL IGNITE MON SHP 250ML DE FR IT NL |      50 |      50 |     195 |     297 |       1
 81311320           | SP MEN MAXIMUM HOLD 100 I,GB,SCAN,E,P    |     100 |     150 |     185 |     899 |       1
 81311787           | SEB SHINE DEFINE ROCK CRYSTAL 200ML      |      45 |      45 |     190 |     217 |       1
 81311764           | SEB TRILLIANCE SHAMPOO 250ML             |      60 |      40 |     210 |     312 |       1
 81311758           | SEB TRILLIANCE SHAMPOO 50ML              |      35 |      35 |     100 |      66 |       1
 81311327           | SP MEN REFRESH TON 125 I,GB,SCAN,E,P     |      80 |     150 |     170 |     885 |       1
 81311333           | SP MEN REMOVE TONIC 125 ML               |      80 |     150 |     170 |     922 |       1
 81539939           | SEB PENETRAITT SHAMPOO 250ML DE FR IT NL |      56 |      48 |     202 |     315 |       1
 81311783           | SEB TRILLIANT ROCK CRYSTAL 150ML         |     210 |      40 |      40 |     190 |       1
 81639219           | CT 1L EMULSION 1.9 %_6 VOL               |      94 |      94 |     275 |    1084 |       1
 81311808           | SEB TAMING ELIXIR 500ML                  |      70 |      70 |     210 |     605 |       1
 81642963           | COLOR FRESH_ACID_8/03_75ML               |      50 |      50 |     140 |     106 |       1
 81380288           | NIOX DEEP RE HAIR MASQ 150ML DE.FR.IT.NL |      40 |      60 |     220 |     159 |       1
 81379420           | SP LUXE OIL 100ml                        |      60 |     160 |     160 |     850 |       1
 81380521           | SEB TRILLIANCE CONDITIONER 250ML         |      40 |      60 |     210 |     312 |       1
 81372132           | Niox Scalp Renew 75ml DE,FR,IT,NL. New   |      50 |      50 |     140 |     108 |       1
 81380531           | SEB-250ML VOLUPT CONDITIONER             |      58 |      58 |     200 |     297 |       1
