ios|cpu|modulo|riga|colonna
  0|  0|    19|  21|     24
  0|  0|    19|  27|     32
  0|  0|    19|  27|     24
  0|  0|    19|  22|     32
  0|  0|    19|  22|     24
  0|  0|    19|  28|     32
  0|  0|    19|  28|     24
  0|  0|    19|  23|     32
  0|  0|    19|  23|     24
  0|  0|    19|  29|     32
  0|  0|    19|  29|     24
  0|  0|    19|  24|     32
  0|  0|    19|  24|     24
  0|  0|    19|   9|     32
  0|  0|    19|   9|     24
  0|  0|    19|   4|     32
  0|  0|    19|   4|     24
  0|  0|    19|  19|     32
  0|  0|    19|  19|     24
  0|  0|    19|  14|     32
  0|  0|    19|  14|     24
  0|  0|    19|   8|     32
  0|  0|    19|   8|     24
  0|  0|    19|   3|     32
  0|  0|    19|   3|     24
  0|  0|    19|  18|     32
  0|  0|    19|  18|     24
  0|  0|    19|  13|     32
  0|  0|    19|  13|     24
  0|  0|    19|   7|     32
  0|  0|    19|   7|     24
  0|  0|    19|   2|     32
  0|  0|    19|   2|     24
  0|  0|    19|  17|     32
  0|  0|    19|  17|     24
  0|  0|    19|  12|     32
  0|  0|    19|  12|     24
  0|  0|    19|   6|     32
  0|  0|    19|   6|     24
  0|  0|    19|   1|     32
  0|  0|    19|   1|     24
  0|  0|    19|  16|     32
  0|  0|    19|  16|     24
  0|  0|    19|  11|     32
  0|  0|    19|  11|     24
  0|  0|    19|   9|     31
  0|  0|    19|   9|     23
  0|  0|    19|   4|     31
  0|  0|    19|   4|     23
  0|  0|    19|  19|     31
  0|  0|    19|  19|     23
  0|  0|    19|  14|     31
  0|  0|    19|  14|     23
  0|  0|    19|   8|     31
  0|  0|    19|   8|     23
  0|  0|    19|   3|     31
  0|  0|    19|   3|     23
  0|  0|    19|  18|     31
  0|  0|    19|  18|     23
  0|  0|    19|  13|     31
  0|  0|    19|  13|     23
  0|  0|    19|   7|     31
  0|  0|    19|   7|     23
  0|  0|    19|   2|     31
  0|  0|    19|   2|     23
  0|  0|    19|  17|     31
  0|  0|    19|  17|     23
  0|  0|    19|  12|     31
  0|  0|    19|  12|     23
  0|  0|    19|   6|     31
  0|  0|    19|   6|     23
  0|  0|    19|   1|     31
  0|  0|    19|   1|     23
  0|  0|    19|  16|     31
  0|  0|    19|  16|     23
  0|  0|    19|  11|     31
  0|  0|    19|  11|     23
  0|  0|    19|   9|     30
  0|  0|    19|   9|     22
  0|  0|    19|   4|     30
  0|  0|    19|   4|     22
  0|  0|    19|  19|     30
  0|  0|    19|  19|     22
  0|  0|    19|  14|     30
  0|  0|    19|  14|     22
  0|  0|    19|   8|     30
  0|  0|    19|   8|     22
  0|  0|    19|   3|     30
  0|  0|    19|   3|     22
  0|  0|    19|  18|     30
  0|  0|    19|  18|     22
  0|  0|    19|  13|     30
  0|  0|    19|  13|     22
  0|  0|    19|   7|     30
  0|  0|    19|   7|     22
  0|  0|    19|   2|     30
  0|  0|    19|   2|     22
  0|  0|    19|  17|     30
  0|  0|    19|  17|     22
  0|  0|    19|  12|     30
  0|  0|    19|  12|     22
  0|  0|    19|   6|     30
  0|  0|    19|   6|     22
  0|  0|    19|   1|     30
  0|  0|    19|   1|     22
  0|  0|    19|  16|     30
  0|  0|    19|  16|     22
  0|  0|    19|  11|     30
  0|  0|    19|  11|     22
  0|  0|    19|  10|     29
  0|  0|    19|  10|     21
  0|  0|    19|   5|     29
  0|  0|    19|   5|     21
  0|  0|    19|  20|     29
  0|  0|    19|  20|     21
  0|  0|    19|  15|     29
  0|  0|    19|  15|     21
  0|  0|    19|   9|     29
  0|  0|    19|   9|     21
  0|  0|    19|   4|     29
  0|  0|    19|   4|     21
  0|  0|    19|  19|     29
  0|  0|    19|  19|     21
  0|  0|    19|  14|     29
  0|  0|    19|  14|     21
  0|  0|    19|   8|     29
  0|  0|    19|   8|     21
  0|  0|    19|   3|     29
  0|  0|    19|   3|     21
  0|  0|    19|  18|     29
  0|  0|    19|  18|     21
  0|  0|    19|  13|     29
  0|  0|    19|  13|     21
  0|  0|    19|   7|     29
  0|  0|    19|   7|     21
  0|  0|    19|   2|     29
  0|  0|    19|   2|     21
  0|  0|    19|  17|     29
  0|  0|    19|  17|     21
  0|  0|    19|  12|     29
  0|  0|    19|  12|     21
  0|  0|    19|   6|     29
  0|  0|    19|   6|     21
  0|  0|    19|   1|     29
  0|  0|    19|   1|     21
  0|  0|    19|  16|     29
  0|  0|    19|  16|     21
  0|  0|    19|  11|     29
  0|  0|    19|  11|     21
  0|  0|    19|   9|     28
  0|  0|    19|   9|     20
  0|  0|    19|   4|     28
  0|  0|    19|   4|     20
  0|  0|    19|  19|     28
  0|  0|    19|  19|     20
  0|  0|    19|  14|     28
  0|  0|    19|  14|     20
  0|  0|    19|   8|     28
  0|  0|    19|   8|     20
  0|  0|    19|   3|     28
  0|  0|    19|   3|     20
  0|  0|    19|  18|     28
  0|  0|    19|  18|     20
  0|  0|    19|  13|     28
  0|  0|    19|  13|     20
  0|  0|    19|   7|     28
  0|  0|    19|   7|     20
  0|  0|    19|   2|     28
  0|  0|    19|   2|     20
  0|  0|    19|  17|     28
  0|  0|    19|  17|     20
  0|  0|    19|  12|     28
  0|  0|    19|  12|     20
  0|  0|    19|   6|     28
  0|  0|    19|   6|     20
  0|  0|    19|   1|     28
  0|  0|    19|   1|     20
  0|  0|    19|  16|     28
  0|  0|    19|  16|     20
  0|  0|    19|  11|     28
  0|  0|    19|  11|     20
  0|  0|    19|   9|     27
  0|  0|    19|   9|     19
  0|  0|    19|   4|     27
  0|  0|    19|   4|     19
  0|  0|    19|  19|     27
  0|  0|    19|  19|     19
  0|  0|    19|  14|     27
  0|  0|    19|  14|     19
  0|  0|    19|   8|     27
  0|  0|    19|   8|     19
  0|  0|    19|   3|     27
  0|  0|    19|   3|     19
  0|  0|    19|  18|     27
  0|  0|    19|  18|     19
  0|  0|    19|  13|     27
  0|  0|    19|  13|     19
  0|  0|    19|   7|     27
  0|  0|    19|   7|     19
  0|  0|    19|   2|     27
  0|  0|    19|   2|     19
  0|  0|    19|  17|     27
  0|  0|    19|  17|     19
  0|  0|    19|  12|     27
  0|  0|    19|  12|     19
  0|  0|    19|   6|     27
  0|  0|    19|   6|     19
  0|  0|    19|   1|     27
  0|  0|    19|   1|     19
  0|  0|    19|  16|     27
  0|  0|    19|  16|     19
  0|  0|    19|  11|     27
  0|  0|    19|  11|     19
  0|  0|    19|   9|     26
  0|  0|    19|   9|     18
  0|  0|    19|   4|     26
  0|  0|    19|   4|     18
  0|  0|    19|  19|     26
  0|  0|    19|  19|     18
  0|  0|    19|  14|     26
  0|  0|    19|  14|     18
  0|  0|    19|   8|     26
  0|  0|    19|   8|     18
  0|  0|    19|   3|     26
  0|  0|    19|   3|     18
  0|  0|    19|  18|     26
  0|  0|    19|  18|     18
  0|  0|    19|  13|     26
  0|  0|    19|  13|     18
  0|  0|    19|   7|     26
  0|  0|    19|   7|     18
  0|  0|    19|   2|     26
  0|  0|    19|   2|     18
  0|  0|    19|  17|     26
  0|  0|    19|  17|     18
  0|  0|    19|  12|     26
  0|  0|    19|  12|     18
  0|  0|    19|   6|     26
  0|  0|    19|   6|     18
  0|  0|    19|   1|     26
  0|  0|    19|   1|     18
  0|  0|    19|  16|     26
  0|  0|    19|  16|     18
  0|  0|    19|  11|     26
  0|  0|    19|  11|     18
  0|  0|    19|   9|     25
  0|  0|    19|   9|     17
  0|  0|    19|   4|     25
  0|  0|    19|   4|     17
  0|  0|    19|  19|     25
  0|  0|    19|  19|     17
  0|  0|    19|  14|     25
  0|  0|    19|  14|     17
  0|  0|    19|   8|     25
