ios|cpu|modulo|riga|colonna
---+---+------+----+-------
  0|  1|    15|  26|     25
  0|  1|    15|  26|     17
  0|  1|    15|  21|     25
  0|  1|    15|  21|     17
  0|  1|    15|  27|     25
  0|  1|    15|  27|     17
  0|  1|    15|  22|     25
  0|  1|    15|  22|     17
  0|  1|    15|  28|     25
  0|  1|    15|  28|     17
  0|  1|    15|  23|     25
  0|  1|    15|  23|     17
  0|  1|    15|  29|     25
  0|  1|    15|  29|     17
  0|  1|    15|  24|     25
  0|  1|    15|  24|     17
  0|  1|    15|  30|     25
  0|  1|    15|  30|     17
  0|  1|    15|  25|     25
  0|  1|    15|  25|     17
  0|  1|    15|  26|     26
  0|  1|    15|  26|     18
  0|  1|    15|  21|     26
  0|  1|    15|  21|     18
  0|  1|    15|  27|     26
  0|  1|    15|  27|     18
  0|  1|    15|  22|     26
  0|  1|    15|  22|     18
  0|  1|    15|  28|     26
  0|  1|    15|  28|     18
  0|  1|    15|  23|     26
  0|  1|    15|  23|     18
  0|  1|    15|  29|     26
  0|  1|    15|  29|     18
  0|  1|    15|  24|     26
  0|  1|    15|  24|     18
  0|  1|    15|  26|     27
  0|  1|    15|  26|     19
  0|  1|    15|  21|     27
  0|  1|    15|  21|     19
  0|  1|    15|  27|     27
  0|  1|    15|  27|     19
  0|  1|    15|  22|     27
  0|  1|    15|  22|     19
  0|  1|    15|  28|     27
  0|  1|    15|  28|     19
  0|  1|    15|  23|     27
  0|  1|    15|  23|     19
  0|  1|    15|  29|     27
  0|  1|    15|  29|     19
  0|  1|    15|  24|     27
  0|  1|    15|  24|     19
  0|  1|    15|  26|     28
  0|  1|    15|  26|     20
  0|  1|    15|  21|     28
  0|  1|    15|  21|     20
  0|  1|    15|  27|     28
  0|  1|    15|  27|     20
  0|  1|    15|  22|     28
  0|  1|    15|  22|     20
  0|  1|    15|  28|     28
  0|  1|    15|  28|     20
  0|  1|    15|  23|     28
  0|  1|    15|  23|     20
  0|  1|    15|  29|     28
  0|  1|    15|  29|     20
  0|  1|    15|  24|     28
  0|  1|    15|  24|     20
  0|  1|    15|  26|     29
  0|  1|    15|  26|     21
  0|  1|    15|  21|     29
  0|  1|    15|  21|     21
  0|  1|    15|  27|     29
  0|  1|    15|  27|     21
  0|  1|    15|  22|     29
  0|  1|    15|  22|     21
  0|  1|    15|  28|     29
  0|  1|    15|  28|     21
  0|  1|    15|  23|     29
  0|  1|    15|  23|     21
  0|  1|    15|  29|     29
  0|  1|    15|  29|     21
  0|  1|    15|  24|     29
  0|  1|    15|  24|     21
  0|  1|    15|  30|     29
  0|  1|    15|  30|     21
  0|  1|    15|  25|     29
  0|  1|    15|  25|     21
  0|  1|    15|  31|     28
  0|  1|    15|  31|     20
  0|  1|    15|  31|     27
  0|  1|    15|  31|     19
  0|  1|    15|  32|     28
  0|  1|    15|  32|     20
  0|  1|    15|  32|     27
  0|  1|    15|  32|     19
  0|  1|    15|  16|     25
  0|  1|    15|  16|     17
  0|  1|    15|  11|     25
  0|  1|    15|  11|     17
  0|  1|    15|  17|     25
  0|  1|    15|  17|     17
  0|  1|    15|  12|     25
  0|  1|    15|  12|     17
  0|  1|    15|  18|     25
  0|  1|    15|  18|     17
  0|  1|    15|  13|     25
  0|  1|    15|  13|     17
  0|  1|    15|  19|     25
  0|  1|    15|  19|     17
  0|  1|    15|  14|     25
  0|  1|    15|  14|     17
  0|  1|    15|  16|     26
  0|  1|    15|  16|     18
  0|  1|    15|  11|     26
  0|  1|    15|  11|     18
  0|  1|    15|  17|     26
  0|  1|    15|  17|     18
  0|  1|    15|  12|     26
  0|  1|    15|  12|     18
  0|  1|    15|  18|     26
  0|  1|    15|  18|     18
  0|  1|    15|  13|     26
  0|  1|    15|  13|     18
  0|  1|    15|  19|     26
  0|  1|    15|  19|     18
  0|  1|    15|  14|     26
  0|  1|    15|  14|     18
  0|  1|    15|  16|     27
  0|  1|    15|  16|     19
  0|  1|    15|  11|     27
  0|  1|    15|  11|     19
  0|  1|    15|  17|     27
  0|  1|    15|  17|     19
  0|  1|    15|  12|     27
  0|  1|    15|  12|     19
  0|  1|    15|  18|     27
  0|  1|    15|  18|     19
  0|  1|    15|  13|     27
  0|  1|    15|  13|     19
  0|  1|    15|  19|     27
  0|  1|    15|  19|     19
  0|  1|    15|  14|     27
  0|  1|    15|  14|     19
  0|  1|    15|  16|     28
  0|  1|    15|  16|     20
  0|  1|    15|  11|     28
  0|  1|    15|  11|     20
  0|  1|    15|  17|     28
  0|  1|    15|  17|     20
  0|  1|    15|  12|     28
  0|  1|    15|  12|     20
  0|  1|    15|  18|     28
  0|  1|    15|  18|     20
  0|  1|    15|  13|     28
  0|  1|    15|  13|     20
  0|  1|    15|  19|     28
  0|  1|    15|  19|     20
  0|  1|    15|  14|     28
  0|  1|    15|  14|     20
  0|  1|    15|  20|     28
  0|  1|    15|  20|     20
  0|  1|    15|  15|     28
  0|  1|    15|  15|     20
  0|  1|    15|  16|     29
  0|  1|    15|  16|     21
  0|  1|    15|  11|     29
  0|  1|    15|  11|     21
  0|  1|    15|  17|     29
  0|  1|    15|  17|     21
  0|  1|    15|  12|     29
  0|  1|    15|  12|     21
  0|  1|    15|  18|     29
  0|  1|    15|  18|     21
  0|  1|    15|  13|     29
  0|  1|    15|  13|     21
  0|  1|    15|  19|     29
  0|  1|    15|  19|     21
